source,target,mixing
"[0,17)","[0,17)",1.965655719
"[0,17)","[17,70)",1.761674738
"[0,17)","70+",0.101957676
"[17,70)","[0,17)",0.536217768
"[17,70)","[17,70)",1.544606644
"[17,70)","70+",0.194694688
"70+","[0,17)",0.153957746
"70+","[17,70)",0.965873484
"70+","70+",0.369024457
