Location,Sex,Age,Total
S02000112,Female,"[17,70)",1609
S02000112,Male,"[17,70)",1487
S02000112,Female,"70+",513
S02000112,Male,"70+",474
S02000111,Female,"[0,17)",255
S02000111,Male,"[0,17)",237
S02000111,Female,"[17,70)",1132
S02000111,Male,"[17,70)",1046
S02000111,Female,"70+",543
S02000111,Male,"70+",503
S02000113,Female,"[0,17)",504
S02000113,Male,"[0,17)",466
S02000113,Female,"[17,70)",1651
S02000113,Male,"[17,70)",1525
S02000113,Female,"70+",600
S02000113,Male,"70+",555
S02000115,Female,"[0,17)",501
S02000115,Male,"[0,17)",464
S02000115,Female,"[17,70)",1565
S02000115,Male,"[17,70)",1445
S02000115,Female,"70+",419
S02000115,Male,"70+",387
S02000225,Female,"[0,17)",697
S02000225,Male,"[0,17)",645
S02000225,Female,"[17,70)",1933
S02000225,Male,"[17,70)",1785
S02000225,Female,"70+",527
S02000225,Male,"70+",488
S02000849,Female,"[0,17)",198
S02000849,Male,"[0,17)",184
S02000849,Female,"[17,70)",1052
S02000849,Male,"[17,70)",972
S02000849,Female,"70+",346
S02000849,Male,"70+",321
S02000855,Female,"[0,17)",462
S02000855,Male,"[0,17)",428
S02000855,Female,"[17,70)",1417
S02000855,Male,"[17,70)",1309
S02000855,Female,"70+",315
S02000855,Male,"70+",292
S02000854,Female,"[0,17)",193
S02000854,Male,"[0,17)",180
S02000854,Female,"[17,70)",1028
S02000854,Male,"[17,70)",949
S02000854,Female,"70+",396
S02000854,Male,"70+",367
S02001222,Female,"[0,17)",634
S02001222,Male,"[0,17)",586
S02001222,Female,"[17,70)",2051
S02001222,Male,"[17,70)",1894
S02001222,Female,"70+",676
S02001222,Male,"70+",624
S02000832,Female,"[0,17)",313
S02000832,Male,"[0,17)",289
S02000832,Female,"[17,70)",1293
S02000832,Male,"[17,70)",1194
S02000832,Female,"70+",783
S02000832,Male,"70+",724
S02001095,Female,"[0,17)",290
S02001095,Male,"[0,17)",269
S02001095,Female,"[17,70)",924
S02001095,Male,"[17,70)",854
S02001095,Female,"70+",263
S02001095,Male,"70+",244
S02000026,Female,"[0,17)",218
S02000026,Male,"[0,17)",202
S02000026,Female,"[17,70)",1590
S02000026,Male,"[17,70)",1468
S02000026,Female,"70+",176
S02000026,Male,"70+",163
S02000322,Female,"[0,17)",498
S02000322,Male,"[0,17)",460
S02000322,Female,"[17,70)",1353
S02000322,Male,"[17,70)",1250
S02000322,Female,"70+",290
S02000322,Male,"70+",268
S02000260,Female,"[0,17)",464
S02000260,Male,"[0,17)",430
S02000260,Female,"[17,70)",1746
S02000260,Male,"[17,70)",1612
S02000260,Female,"70+",410
S02000260,Male,"70+",379
S02000238,Female,"[0,17)",326
S02000238,Male,"[0,17)",301
S02000238,Female,"[17,70)",1154
S02000238,Male,"[17,70)",1066
S02000238,Female,"70+",373
S02000238,Male,"70+",346
S02000084,Female,"[0,17)",280
S02000084,Male,"[0,17)",259
S02000084,Female,"[17,70)",1044
S02000084,Male,"[17,70)",965
S02000084,Female,"70+",240
S02000084,Male,"70+",222
S02000953,Female,"[0,17)",308
S02000953,Male,"[0,17)",285
S02000953,Female,"[17,70)",1232
S02000953,Male,"[17,70)",1138
S02000953,Female,"70+",579
S02000953,Male,"70+",535
S02000087,Female,"[0,17)",380
S02000087,Male,"[0,17)",351
S02000087,Female,"[17,70)",1195
S02000087,Male,"[17,70)",1104
S02000087,Female,"70+",282
S02000087,Male,"70+",262
S02000570,Female,"[0,17)",379
S02000570,Male,"[0,17)",351
S02000570,Female,"[17,70)",1321
S02000570,Male,"[17,70)",1220
S02000570,Female,"70+",481
S02000570,Male,"70+",444
S02001069,Female,"[0,17)",318
S02001069,Male,"[0,17)",295
S02001069,Female,"[17,70)",1657
S02001069,Male,"[17,70)",1531
S02001069,Female,"70+",417
S02001069,Male,"70+",386
S02001067,Female,"[0,17)",342
S02001067,Male,"[0,17)",316
S02001067,Female,"[17,70)",1618
S02001067,Male,"[17,70)",1494
S02001067,Female,"70+",840
S02001067,Male,"70+",777
S02000340,Female,"[0,17)",342
S02000340,Male,"[0,17)",317
S02000340,Female,"[17,70)",1261
S02000340,Male,"[17,70)",1165
S02000340,Female,"70+",514
S02000340,Male,"70+",476
S02000723,Female,"[0,17)",434
S02000723,Male,"[0,17)",401
S02000723,Female,"[17,70)",1734
S02000723,Male,"[17,70)",1601
S02000723,Female,"70+",471
S02000723,Male,"70+",436
S02000726,Female,"[0,17)",407
S02000726,Male,"[0,17)",377
S02000726,Female,"[17,70)",1489
S02000726,Male,"[17,70)",1375
S02000726,Female,"70+",580
S02000726,Male,"70+",537
S02000721,Female,"[0,17)",307
