Location,Sex,Age,Total
S02000601,Male,"[17,70)",1031
S02000601,Female,"70+",277
S02000601,Male,"70+",257
S02000329,Female,"[0,17)",247
S02000329,Male,"[0,17)",229
S02000329,Female,"[17,70)",1050
S02000329,Male,"[17,70)",970
S02000329,Female,"70+",366
S02000329,Male,"70+",338
S02001096,Female,"[0,17)",345
S02001096,Male,"[0,17)",320
S02001096,Female,"[17,70)",1144
S02001096,Male,"[17,70)",1056
S02001096,Female,"70+",288
S02001096,Male,"70+",267
S02000491,Female,"[0,17)",310
S02000491,Male,"[0,17)",287
S02000491,Female,"[17,70)",1179
S02000491,Male,"[17,70)",1089
S02000491,Female,"70+",578
S02000491,Male,"70+",534
S02000498,Female,"[0,17)",314
S02000498,Male,"[0,17)",290
S02000498,Female,"[17,70)",1137
S02000498,Male,"[17,70)",1051
S02000498,Female,"70+",333
S02000498,Male,"70+",309
S02000249,Female,"[0,17)",218
S02000249,Male,"[0,17)",203
S02000249,Female,"[17,70)",918
S02000249,Male,"[17,70)",848
S02000249,Female,"70+",340
S02000249,Male,"70+",315
S02001105,Female,"[0,17)",596
S02001105,Male,"[0,17)",552
S02001105,Female,"[17,70)",1678
S02001105,Male,"[17,70)",1550
S02001105,Female,"70+",372
S02001105,Male,"70+",345
S02000082,Female,"[0,17)",408
S02000082,Male,"[0,17)",378
S02000082,Female,"[17,70)",1540
S02000082,Male,"[17,70)",1422
S02000082,Female,"70+",430
S02000082,Male,"70+",398
S02000820,Female,"[0,17)",537
S02000820,Male,"[0,17)",497
S02000820,Female,"[17,70)",1748
S02000820,Male,"[17,70)",1614
S02000820,Female,"70+",650
S02000820,Male,"70+",600
S02000003,Female,"[0,17)",459
S02000003,Male,"[0,17)",424
S02000003,Female,"[17,70)",1704
S02000003,Male,"[17,70)",1574
S02000003,Female,"70+",496
S02000003,Male,"70+",459
S02000004,Female,"[0,17)",702
S02000004,Male,"[0,17)",648
S02000004,Female,"[17,70)",2136
S02000004,Male,"[17,70)",1973
S02000004,Female,"70+",660
S02000004,Male,"70+",610
S02000007,Female,"[0,17)",407
S02000007,Male,"[0,17)",376
S02000007,Female,"[17,70)",1342
S02000007,Male,"[17,70)",1240
S02000007,Female,"70+",409
S02000007,Male,"70+",379
S02000934,Female,"[0,17)",555
S02000934,Male,"[0,17)",513
S02000934,Female,"[17,70)",1697
S02000934,Male,"[17,70)",1568
S02000934,Female,"70+",463
S02000934,Male,"70+",428
S02000030,Female,"[0,17)",357
S02000030,Male,"[0,17)",331
S02000030,Female,"[17,70)",1209
S02000030,Male,"[17,70)",1117
S02000030,Female,"70+",334
S02000030,Male,"70+",310
S02000236,Female,"[0,17)",289
S02000236,Male,"[0,17)",267
S02000236,Female,"[17,70)",1255
S02000236,Male,"[17,70)",1159
S02000236,Female,"70+",445
S02000236,Male,"70+",411
S02000237,Female,"[0,17)",484
S02000237,Male,"[0,17)",447
S02000237,Female,"[17,70)",1774
S02000237,Male,"[17,70)",1638
S02000237,Female,"70+",541
S02000237,Male,"70+",501
S02000234,Female,"[0,17)",481
S02000234,Male,"[0,17)",445
S02000234,Female,"[17,70)",1611
S02000234,Male,"[17,70)",1488
S02000234,Female,"70+",432
S02000234,Male,"70+",400
S02000575,Female,"[0,17)",335
S02000575,Male,"[0,17)",311
S02000575,Female,"[17,70)",1121
S02000575,Male,"[17,70)",1036
S02000575,Female,"70+",290
S02000575,Male,"70+",269
S02000574,Female,"[0,17)",297
S02000574,Male,"[0,17)",275
S02000574,Female,"[17,70)",1136
S02000574,Male,"[17,70)",1049
S02000574,Female,"70+",601
S02000574,Male,"70+",556
S02000573,Female,"[0,17)",341
S02000573,Male,"[0,17)",316
S02000573,Female,"[17,70)",1276
S02000573,Male,"[17,70)",1179
S02000573,Female,"70+",439
S02000573,Male,"70+",407
S02000337,Female,"[0,17)",243
S02000337,Male,"[0,17)",225
S02000337,Female,"[17,70)",938
S02000337,Male,"[17,70)",866
S02000337,Female,"70+",411
S02000337,Male,"70+",380
S02000339,Female,"[0,17)",299
S02000339,Male,"[0,17)",277
S02000339,Female,"[17,70)",2090
S02000339,Male,"[17,70)",1930
S02000339,Female,"70+",357
S02000339,Male,"70+",331
S02000571,Female,"[0,17)",240
S02000571,Male,"[0,17)",222
S02000571,Female,"[17,70)",907
S02000571,Male,"[17,70)",838
S02000571,Female,"70+",351
S02000571,Male,"70+",325
S02000167,Female,"[0,17)",405
S02000167,Male,"[0,17)",374
S02000167,Female,"[17,70)",1558
S02000167,Male,"[17,70)",1440
S02000167,Female,"70+",793
S02000167,Male,"70+",732
S02000484,Female,"[0,17)",368
S02000484,Male,"[0,17)",340
S02000484,Female,"[17,70)",1391
S02000484,Male,"[17,70)",1284
S02000484,Female,"70+",579
S02000484,Male,"70+",535
S02000487,Female,"[0,17)",257
S02000487,Male,"[0,17)",239
S02000487,Female,"[17,70)",881
S02000487,Male,"[17,70)",814
S02000487,Female,"70+",353
S02000487,Male,"70+",326
S02000485,Female,"[0,17)",366
S02000485,Male,"[0,17)",338
S02000485,Female,"[17,70)",1046
S02000485,Male,"[17,70)",967
S02000485,Female,"70+",161
S02000485,Male,"70+",149
S02000805,Female,"[0,17)",301
S02000805,Male,"[0,17)",279
S02000805,Female,"[17,70)",1157
S02000805,Male,"[17,70)",1068
S02000805,Female,"70+",380
S02000805,Male,"70+",351
S02000370,Female,"[0,17)",283
S02000370,Male,"[0,17)",262
S02000370,Female,"[17,70)",2695
S02000370,Male,"[17,70)",2488
S02000370,Female,"70+",229
S02000370,Male,"70+",212
S02000619,Female,"[0,17)",297
S02000619,Male,"[0,17)",276
S02000619,Female,"[17,70)",1063
S02000619,Male,"[17,70)",983
S02000619,Female,"70+",287
S02000619,Male,"70+",266
S02001068,Female,"[0,17)",497
S02001068,Male,"[0,17)",460
S02001068,Female,"[17,70)",1803
S02001068,Male,"[17,70)",1666
S02001068,Female,"70+",604
S02001068,Male,"70+",558
S02000859,Female,"[0,17)",227
S02000859,Male,"[0,17)",211
S02000859,Female,"[17,70)",946
S02000859,Male,"[17,70)",875
S02000859,Female,"70+",358
S02000859,Male,"70+",331
S02000861,Female,"[0,17)",294
S02000861,Male,"[0,17)",272
S02000861,Female,"[17,70)",965
S02000861,Male,"[17,70)",891
S02000861,Female,"70+",258
S02000861,Male,"70+",240
S02000381,Female,"[0,17)",208
S02000381,Male,"[0,17)",192
S02000381,Female,"[17,70)",3036
S02000381,Male,"[17,70)",2803
S02000381,Female,"70+",196
S02000381,Male,"70+",182
S02000040,Female,"[0,17)",270
S02000040,Male,"[0,17)",251
S02000040,Female,"[17,70)",1475
S02000040,Male,"[17,70)",1362
S02000040,Female,"70+",387
S02000040,Male,"70+",358
S02000587,Female,"[0,17)",479
S02000587,Male,"[0,17)",443
S02000587,Female,"[17,70)",1642
S02000587,Male,"[17,70)",1517
S02000587,Female,"70+",282
S02000587,Male,"70+",261
S02000590,Female,"[0,17)",354
S02000590,Male,"[0,17)",328
S02000590,Female,"[17,70)",1034
S02000590,Male,"[17,70)",956
S02000590,Female,"70+",242
S02000590,Male,"70+",224
S02000586,Female,"[0,17)",674
S02000586,Male,"[0,17)",623
S02000586,Female,"[17,70)",1937
S02000586,Male,"[17,70)",1788
S02000586,Female,"70+",177
S02000586,Male,"70+",164
S02000247,Female,"[0,17)",330
S02000247,Male,"[0,17)",306
S02000247,Female,"[17,70)",1128
S02000247,Male,"[17,70)",1042
S02000247,Female,"70+",403
S02000247,Male,"70+",373
S02000253,Female,"[0,17)",380
S02000253,Male,"[0,17)",352
S02000253,Female,"[17,70)",1233
S02000253,Male,"[17,70)",1139
S02000253,Female,"70+",347
S02000253,Male,"70+",322
S02000389,Female,"[0,17)",333
S02000389,Male,"[0,17)",309
S02000389,Female,"[17,70)",2522
S02000389,Male,"[17,70)",2328
S02000389,Female,"70+",461
S02000389,Male,"70+",426
S02001221,Female,"[0,17)",428
S02001221,Male,"[0,17)",396
S02001221,Female,"[17,70)",1241
S02001221,Male,"[17,70)",1146
S02001221,Female,"70+",241
S02001221,Male,"70+",224
S02001229,Female,"[0,17)",386
S02001229,Male,"[0,17)",357
S02001229,Female,"[17,70)",1450
S02001229,Male,"[17,70)",1339
S02001229,Female,"70+",386
S02001229,Male,"70+",358
S02001211,Female,"[0,17)",628
S02001211,Male,"[0,17)",581
S02001211,Female,"[17,70)",1864
S02001211,Male,"[17,70)",1721
S02001211,Female,"70+",437
S02001211,Male,"70+",405
S02000093,Female,"[0,17)",420
S02000093,Male,"[0,17)",389
S02000093,Female,"[17,70)",1559
S02000093,Male,"[17,70)",1440
S02000093,Female,"70+",468
S02000093,Male,"70+",433
S02000046,Female,"[0,17)",268
S02000046,Male,"[0,17)",248
S02000046,Female,"[17,70)",1051
S02000046,Male,"[17,70)",971
S02000046,Female,"70+",238
S02000046,Male,"70+",220
S02000650,Female,"[0,17)",276
S02000650,Male,"[0,17)",255
S02000650,Female,"[17,70)",1851
S02000650,Male,"[17,70)",1709
S02000650,Female,"70+",187
S02000650,Male,"70+",173
S02000659,Female,"[0,17)",388
S02000659,Male,"[0,17)",360
S02000659,Female,"[17,70)",2634
S02000659,Male,"[17,70)",2433
S02000659,Female,"70+",454
S02000659,Male,"70+",420
S02000752,Female,"[0,17)",492
S02000752,Male,"[0,17)",455
S02000752,Female,"[17,70)",1723
S02000752,Male,"[17,70)",1591
S02000752,Female,"70+",547
S02000752,Male,"70+",505
S02000203,Female,"[0,17)",293
S02000203,Male,"[0,17)",271
S02000203,Female,"[17,70)",2169
S02000203,Male,"[17,70)",2004
S02000203,Female,"70+",284
S02000203,Male,"70+",264
S02000161,Female,"[0,17)",343
S02000161,Male,"[0,17)",317
S02000161,Female,"[17,70)",1067
S02000161,Male,"[17,70)",985
S02000161,Female,"70+",423
S02000161,Male,"70+",392
S02000231,Female,"[0,17)",381
S02000231,Male,"[0,17)",352
S02000231,Female,"[17,70)",1306
S02000231,Male,"[17,70)",1207
S02000231,Female,"70+",418
S02000231,Male,"70+",386
S02000230,Female,"[0,17)",267
S02000230,Male,"[0,17)",247
S02000230,Female,"[17,70)",1049
S02000230,Male,"[17,70)",969
S02000230,Female,"70+",350
S02000230,Male,"70+",324
S02000451,Female,"[0,17)",381
S02000451,Male,"[0,17)",353
S02000451,Female,"[17,70)",1450
S02000451,Male,"[17,70)",1339
S02000451,Female,"70+",437
S02000451,Male,"70+",405
S02000218,Female,"[0,17)",394
S02000218,Male,"[0,17)",364
S02000218,Female,"[17,70)",1115
S02000218,Male,"[17,70)",1030
S02000218,Female,"70+",307
S02000218,Male,"70+",284
S02000222,Female,"[0,17)",442
S02000222,Male,"[0,17)",409
S02000222,Female,"[17,70)",1480
S02000222,Male,"[17,70)",1367
S02000222,Female,"70+",365
S02000222,Male,"70+",338
S02001082,Female,"[0,17)",368
S02001082,Male,"[0,17)",340
S02001082,Female,"[17,70)",1354
S02001082,Male,"[17,70)",1251
S02001082,Female,"70+",583
S02001082,Male,"70+",540
S02000681,Female,"[0,17)",247
S02000681,Male,"[0,17)",229
S02000681,Female,"[17,70)",1728
S02000681,Male,"[17,70)",1596
S02000681,Female,"70+",318
S02000681,Male,"70+",294
S02000227,Female,"[0,17)",419
S02000227,Male,"[0,17)",388
S02000227,Female,"[17,70)",1606
S02000227,Male,"[17,70)",1483
S02000227,Female,"70+",590
S02000227,Male,"70+",545
S02000834,Female,"[0,17)",283
S02000834,Male,"[0,17)",262
S02000834,Female,"[17,70)",1146
S02000834,Male,"[17,70)",1058
S02000834,Female,"70+",416
S02000834,Male,"70+",385
S02000233,Female,"[0,17)",306
S02000233,Male,"[0,17)",283
S02000233,Female,"[17,70)",959
S02000233,Male,"[17,70)",886
S02000233,Female,"70+",280
S02000233,Male,"70+",259
S02000715,Female,"[0,17)",417
S02000715,Male,"[0,17)",385
S02000715,Female,"[17,70)",1052
S02000715,Male,"[17,70)",972
S02000715,Female,"70+",148
S02000715,Male,"70+",137
S02000712,Female,"[0,17)",424
S02000712,Male,"[0,17)",392
S02000712,Female,"[17,70)",1088
S02000712,Male,"[17,70)",1005
S02000712,Female,"70+",258
S02000712,Male,"70+",240
S02000917,Female,"[0,17)",290
S02000917,Male,"[0,17)",269
S02000917,Female,"[17,70)",1090
S02000917,Male,"[17,70)",1007
S02000917,Female,"70+",420
S02000917,Male,"70+",389
S02000660,Female,"[0,17)",567
S02000660,Male,"[0,17)",525
S02000660,Female,"[17,70)",2188
S02000660,Male,"[17,70)",2021
S02000660,Female,"70+",504
S02000660,Male,"70+",466
S02000716,Female,"[0,17)",314
S02000716,Male,"[0,17)",291
S02000716,Female,"[17,70)",946
S02000716,Male,"[17,70)",875
S02000716,Female,"70+",200
S02000716,Male,"70+",185
S02000714,Female,"[0,17)",446
S02000714,Male,"[0,17)",412
S02000714,Female,"[17,70)",1217
S02000714,Male,"[17,70)",1125
S02000714,Female,"70+",172
S02000714,Male,"70+",159
S02000411,Female,"[0,17)",484
S02000411,Male,"[0,17)",448
S02000411,Female,"[17,70)",1564
S02000411,Male,"[17,70)",1445
S02000411,Female,"70+",400
S02000411,Male,"70+",370
S02000384,Female,"[0,17)",343
S02000384,Male,"[0,17)",318
S02000384,Female,"[17,70)",1189
S02000384,Male,"[17,70)",1098
S02000384,Female,"70+",499
S02000384,Male,"70+",462
S02000184,Female,"[0,17)",502
S02000184,Male,"[0,17)",465
S02000184,Female,"[17,70)",1907
S02000184,Male,"[17,70)",1762
S02000184,Female,"70+",599
S02000184,Male,"70+",553
S02000180,Female,"[0,17)",327
S02000180,Male,"[0,17)",302
S02000180,Female,"[17,70)",1328
S02000180,Male,"[17,70)",1226
S02000180,Female,"70+",378
S02000180,Male,"70+",350
S02000183,Female,"[0,17)",471
S02000183,Male,"[0,17)",436
S02000183,Female,"[17,70)",1428
S02000183,Male,"[17,70)",1319
S02000183,Female,"70+",502
S02000183,Male,"70+",464
S02001181,Female,"[0,17)",556
S02001181,Male,"[0,17)",514
S02001181,Female,"[17,70)",1277
S02001181,Male,"[17,70)",1180
S02001181,Female,"70+",404
S02001181,Male,"70+",373
S02001180,Female,"[0,17)",579
S02001180,Male,"[0,17)",535
S02001180,Female,"[17,70)",1833
S02001180,Male,"[17,70)",1692
S02001180,Female,"70+",605
S02001180,Male,"70+",560
S02001080,Female,"[0,17)",516
S02001080,Male,"[0,17)",478
S02001080,Female,"[17,70)",1809
S02001080,Male,"[17,70)",1670
S02001080,Female,"70+",681
S02001080,Male,"70+",630
S02000909,Female,"[0,17)",580
S02000909,Male,"[0,17)",536
S02000909,Female,"[17,70)",2016
S02000909,Male,"[17,70)",1862
S02000909,Female,"70+",614
S02000909,Male,"70+",568
S02000061,Female,"[0,17)",535
S02000061,Male,"[0,17)",495
S02000061,Female,"[17,70)",1736
S02000061,Male,"[17,70)",1603
S02000061,Female,"70+",432
S02000061,Male,"70+",399
S02000497,Female,"[0,17)",431
S02000497,Male,"[0,17)",399
S02000497,Female,"[17,70)",1300
S02000497,Male,"[17,70)",1201
S02000497,Female,"70+",281
S02000497,Male,"70+",260
S02000494,Female,"[0,17)",288
S02000494,Male,"[0,17)",266
S02000494,Female,"[17,70)",927
S02000494,Male,"[17,70)",856
S02000494,Female,"70+",238
S02000494,Male,"70+",220
S02000504,Female,"[0,17)",262
S02000504,Male,"[0,17)",243
S02000504,Female,"[17,70)",1209
S02000504,Male,"[17,70)",1116
S02000504,Female,"70+",320
S02000504,Male,"70+",296
S02000509,Female,"[0,17)",336
S02000509,Male,"[0,17)",312
S02000509,Female,"[17,70)",1081
S02000509,Male,"[17,70)",999
S02000509,Female,"70+",450
S02000509,Male,"70+",417
S02000496,Female,"[0,17)",293
S02000496,Male,"[0,17)",272
S02000496,Female,"[17,70)",1115
S02000496,Male,"[17,70)",1030
S02000496,Female,"70+",296
S02000496,Male,"70+",275
S02000499,Female,"[0,17)",203
S02000499,Male,"[0,17)",189
S02000499,Female,"[17,70)",1174
S02000499,Male,"[17,70)",1085
S02000499,Female,"70+",299
S02000499,Male,"70+",277
S02000493,Female,"[0,17)",1883
S02000493,Male,"[0,17)",1739
S02000493,Female,"[17,70)",4636
S02000493,Male,"[17,70)",4281
S02000493,Female,"70+",479
S02000493,Male,"70+",444
S02000503,Female,"[0,17)",239
S02000503,Male,"[0,17)",221
S02000503,Female,"[17,70)",988
S02000503,Male,"[17,70)",912
S02000503,Female,"70+",365
S02000503,Male,"70+",337
S02000505,Female,"[0,17)",368
S02000505,Male,"[0,17)",341
S02000505,Female,"[17,70)",1551
S02000505,Male,"[17,70)",1432
S02000505,Female,"70+",403
S02000505,Male,"70+",372
S02000510,Female,"[0,17)",309
S02000510,Male,"[0,17)",287
S02000510,Female,"[17,70)",1254
S02000510,Male,"[17,70)",1158
S02000510,Female,"70+",304
S02000510,Male,"70+",281
S02000492,Female,"[0,17)",212
S02000492,Male,"[0,17)",196
S02000492,Female,"[17,70)",946
S02000492,Male,"[17,70)",874
S02000492,Female,"70+",330
S02000492,Male,"70+",305
S02000502,Female,"[0,17)",295
S02000502,Male,"[0,17)",273
S02000502,Female,"[17,70)",958
S02000502,Male,"[17,70)",886
S02000502,Female,"70+",243
S02000502,Male,"70+",225
S02000513,Female,"[0,17)",293
S02000513,Male,"[0,17)",271
S02000513,Female,"[17,70)",1022
S02000513,Male,"[17,70)",944
S02000513,Female,"70+",422
S02000513,Male,"70+",391
S02000479,Female,"[0,17)",293
S02000479,Male,"[0,17)",271
S02000479,Female,"[17,70)",1096
S02000479,Male,"[17,70)",1013
S02000479,Female,"70+",319
S02000479,Male,"70+",296
S02000135,Female,"[0,17)",401
S02000135,Male,"[0,17)",371
S02000135,Female,"[17,70)",1358
S02000135,Male,"[17,70)",1254
S02000135,Female,"70+",531
S02000135,Male,"70+",491
S02001046,Female,"[0,17)",191
S02001046,Male,"[0,17)",178
S02001046,Female,"[17,70)",731
S02001046,Male,"[17,70)",675
S02001046,Female,"70+",336
S02001046,Male,"70+",311
S02000328,Female,"[0,17)",569
S02000328,Male,"[0,17)",526
S02000328,Female,"[17,70)",2117
S02000328,Male,"[17,70)",1955
S02000328,Female,"70+",505
S02000328,Male,"70+",467
S02000073,Female,"[0,17)",678
S02000073,Male,"[0,17)",627
S02000073,Female,"[17,70)",2012
S02000073,Male,"[17,70)",1859
S02000073,Female,"70+",287
S02000073,Male,"70+",265
S02000047,Female,"[0,17)",424
S02000047,Male,"[0,17)",392
S02000047,Female,"[17,70)",1742
S02000047,Male,"[17,70)",1608
S02000047,Female,"70+",682
S02000047,Male,"70+",630
S02000528,Female,"[0,17)",312
S02000528,Male,"[0,17)",289
S02000528,Female,"[17,70)",1219
S02000528,Male,"[17,70)",1126
S02000528,Female,"70+",382
S02000528,Male,"70+",354
S02000310,Female,"[0,17)",485
S02000310,Male,"[0,17)",449
S02000310,Female,"[17,70)",1487
S02000310,Male,"[17,70)",1373
S02000310,Female,"70+",496
S02000310,Male,"70+",459
S02000244,Female,"[0,17)",493
S02000244,Male,"[0,17)",456
S02000244,Female,"[17,70)",2013
S02000244,Male,"[17,70)",1859
S02000244,Female,"70+",595
S02000244,Male,"70+",551
S02001044,Female,"[0,17)",793
S02001044,Male,"[0,17)",732
S02001044,Female,"[17,70)",2331
S02001044,Male,"[17,70)",2153
S02001044,Female,"70+",760
S02001044,Male,"70+",703
S02001128,Female,"[0,17)",332
S02001128,Male,"[0,17)",307
S02001128,Female,"[17,70)",1429
S02001128,Male,"[17,70)",1320
S02001128,Female,"70+",369
S02001128,Male,"70+",341
S02000056,Female,"[0,17)",236
S02000056,Male,"[0,17)",218
S02000056,Female,"[17,70)",961
S02000056,Male,"[17,70)",888
S02000056,Female,"70+",464
S02000056,Male,"70+",429
S02001213,Female,"[0,17)",431
S02001213,Male,"[0,17)",399
S02001213,Female,"[17,70)",1634
S02001213,Male,"[17,70)",1510
S02001213,Female,"70+",326
S02001213,Male,"70+",302
S02000284,Female,"[0,17)",353
S02000284,Male,"[0,17)",326
S02000284,Female,"[17,70)",1141
S02000284,Male,"[17,70)",1054
S02000284,Female,"70+",315
S02000284,Male,"70+",291
S02000388,Female,"[0,17)",468
S02000388,Male,"[0,17)",433
S02000388,Female,"[17,70)",1725
S02000388,Male,"[17,70)",1594
S02000388,Female,"70+",550
S02000388,Male,"70+",508
S02000945,Female,"[0,17)",195
S02000945,Male,"[0,17)",181
S02000945,Female,"[17,70)",812
S02000945,Male,"[17,70)",751
S02000945,Female,"70+",242
S02000945,Male,"70+",225
S02000943,Female,"[0,17)",427
S02000943,Male,"[0,17)",396
S02000943,Female,"[17,70)",1303
S02000943,Male,"[17,70)",1204
S02000943,Female,"70+",355
S02000943,Male,"70+",329
S02001130,Female,"[0,17)",248
S02001130,Male,"[0,17)",230
S02001130,Female,"[17,70)",1041
S02001130,Male,"[17,70)",962
S02001130,Female,"70+",366
S02001130,Male,"70+",339
S02000424,Female,"[0,17)",458
S02000424,Male,"[0,17)",424
S02000424,Female,"[17,70)",1860
S02000424,Male,"[17,70)",1718
S02000424,Female,"70+",412
S02000424,Male,"70+",381
S02001054,Female,"[0,17)",309
S02001054,Male,"[0,17)",286
S02001054,Female,"[17,70)",928
S02001054,Male,"[17,70)",858
S02001054,Female,"70+",271
S02001054,Male,"70+",251
S02000653,Female,"[0,17)",222
S02000653,Male,"[0,17)",206
S02000653,Female,"[17,70)",880
S02000653,Male,"[17,70)",813
S02000653,Female,"70+",173
S02000653,Male,"70+",161
S02000801,Female,"[0,17)",469
S02000801,Male,"[0,17)",433
S02000801,Female,"[17,70)",1111
S02000801,Male,"[17,70)",1027
S02000801,Female,"70+",240
S02000801,Male,"70+",223
S02001115,Female,"[0,17)",358
S02001115,Male,"[0,17)",331
S02001115,Female,"[17,70)",1279
S02001115,Male,"[17,70)",1181
S02001115,Female,"70+",237
S02001115,Male,"70+",219
S02000999,Female,"[0,17)",431
S02000999,Male,"[0,17)",399
S02000999,Female,"[17,70)",1779
S02000999,Male,"[17,70)",1644
S02000999,Female,"70+",599
S02000999,Male,"70+",553
S02000824,Female,"[0,17)",283
S02000824,Male,"[0,17)",262
S02000824,Female,"[17,70)",1123
S02000824,Male,"[17,70)",1038
S02000824,Female,"70+",267
S02000824,Male,"70+",248
S02000825,Female,"[0,17)",367
S02000825,Male,"[0,17)",339
S02000825,Female,"[17,70)",983
S02000825,Male,"[17,70)",909
S02000825,Female,"70+",258
S02000825,Male,"70+",240
S02000823,Female,"[0,17)",451
S02000823,Male,"[0,17)",417
S02000823,Female,"[17,70)",1404
S02000823,Male,"[17,70)",1296
S02000823,Female,"70+",468
S02000823,Male,"70+",433
S02000822,Female,"[0,17)",238
S02000822,Male,"[0,17)",221
S02000822,Female,"[17,70)",992
S02000822,Male,"[17,70)",916
S02000822,Female,"70+",463
S02000822,Male,"70+",428
S02001220,Female,"[0,17)",725
S02001220,Male,"[0,17)",670
S02001220,Female,"[17,70)",2210
S02001220,Male,"[17,70)",2041
S02001220,Female,"70+",306
S02001220,Male,"70+",284
S02000564,Female,"[0,17)",190
S02000564,Male,"[0,17)",177
S02000564,Female,"[17,70)",731
S02000564,Male,"[17,70)",676
S02000564,Female,"70+",419
S02000564,Male,"70+",388
S02000076,Female,"[0,17)",237
S02000076,Male,"[0,17)",220
S02000076,Female,"[17,70)",1223
S02000076,Male,"[17,70)",1130
S02000076,Female,"70+",485
S02000076,Male,"70+",449
S02000077,Female,"[0,17)",332
S02000077,Male,"[0,17)",308
S02000077,Female,"[17,70)",1419
S02000077,Male,"[17,70)",1311
S02000077,Female,"70+",466
S02000077,Male,"70+",432
S02000970,Female,"[0,17)",436
S02000970,Male,"[0,17)",403
S02000970,Female,"[17,70)",1336
S02000970,Male,"[17,70)",1235
S02000970,Female,"70+",359
S02000970,Male,"70+",333
S02001018,Female,"[0,17)",468
S02001018,Male,"[0,17)",433
S02001018,Female,"[17,70)",1599
S02001018,Male,"[17,70)",1476
S02001018,Female,"70+",564
S02001018,Male,"70+",521
S02001017,Female,"[0,17)",548
S02001017,Male,"[0,17)",506
S02001017,Female,"[17,70)",2031
S02001017,Male,"[17,70)",1875
S02001017,Female,"70+",424
S02001017,Male,"70+",393
S02001019,Female,"[0,17)",562
S02001019,Male,"[0,17)",519
S02001019,Female,"[17,70)",1940
S02001019,Male,"[17,70)",1791
S02001019,Female,"70+",528
S02001019,Male,"70+",489
S02000804,Female,"[0,17)",375
S02000804,Male,"[0,17)",348
S02000804,Female,"[17,70)",1396
S02000804,Male,"[17,70)",1289
S02000804,Female,"70+",537
S02000804,Male,"70+",497
S02001028,Female,"[0,17)",349
S02001028,Male,"[0,17)",323
S02001028,Female,"[17,70)",1227
S02001028,Male,"[17,70)",1133
S02001028,Female,"70+",438
S02001028,Male,"70+",405
S02001049,Female,"[0,17)",293
S02001049,Male,"[0,17)",271
S02001049,Female,"[17,70)",943
S02001049,Male,"[17,70)",871
S02001049,Female,"70+",398
S02001049,Male,"70+",368
S02001122,Female,"[0,17)",278
S02001122,Male,"[0,17)",258
S02001122,Female,"[17,70)",744
S02001122,Male,"[17,70)",687
S02001122,Female,"70+",173
S02001122,Male,"70+",160
S02000860,Female,"[0,17)",499
S02000860,Male,"[0,17)",462
S02000860,Female,"[17,70)",1454
S02000860,Male,"[17,70)",1344
S02000860,Female,"70+",389
S02000860,Male,"70+",360
S02000335,Female,"[0,17)",585
S02000335,Male,"[0,17)",541
S02000335,Female,"[17,70)",1665
S02000335,Male,"[17,70)",1538
S02000335,Female,"70+",437
S02000335,Male,"70+",404
S02000219,Female,"[0,17)",304
S02000219,Male,"[0,17)",282
S02000219,Female,"[17,70)",1434
S02000219,Male,"[17,70)",1324
S02000219,Female,"70+",598
S02000219,Male,"70+",553
S02000452,Female,"[0,17)",190
S02000452,Male,"[0,17)",176
S02000452,Female,"[17,70)",981
S02000452,Male,"[17,70)",907
S02000452,Female,"70+",702
S02000452,Male,"70+",649
S02000567,Female,"[0,17)",228
S02000567,Male,"[0,17)",211
S02000567,Female,"[17,70)",874
S02000567,Male,"[17,70)",807
S02000567,Female,"70+",326
S02000567,Male,"70+",301
S02001170,Female,"[0,17)",352
S02001170,Male,"[0,17)",326
S02001170,Female,"[17,70)",1093
S02001170,Male,"[17,70)",1009
S02001170,Female,"70+",211
S02001170,Male,"70+",196
S02000895,Female,"[0,17)",388
S02000895,Male,"[0,17)",360
S02000895,Female,"[17,70)",1506
S02000895,Male,"[17,70)",1392
S02000895,Female,"70+",435
S02000895,Male,"70+",403
S02000473,Female,"[0,17)",355
S02000473,Male,"[0,17)",329
S02000473,Female,"[17,70)",1232
S02000473,Male,"[17,70)",1139
S02000473,Female,"70+",330
S02000473,Male,"70+",305
S02001162,Female,"[0,17)",213
S02001162,Male,"[0,17)",198
S02001162,Female,"[17,70)",1145
S02001162,Male,"[17,70)",1058
S02001162,Female,"70+",382
S02001162,Male,"70+",354
S02001204,Female,"[0,17)",460
S02001204,Male,"[0,17)",426
S02001204,Female,"[17,70)",1560
S02001204,Male,"[17,70)",1441
S02001204,Female,"70+",443
S02001204,Male,"70+",410
S02001146,Female,"[0,17)",452
S02001146,Male,"[0,17)",419
S02001146,Female,"[17,70)",1449
S02001146,Male,"[17,70)",1338
S02001146,Female,"70+",322
S02001146,Male,"70+",299
S02000343,Female,"[0,17)",428
S02000343,Male,"[0,17)",396
S02000343,Female,"[17,70)",1381
S02000343,Male,"[17,70)",1276
S02000343,Female,"70+",342
S02000343,Male,"70+",317
S02000016,Female,"[0,17)",236
S02000016,Male,"[0,17)",219
S02000016,Female,"[17,70)",2223
S02000016,Male,"[17,70)",2052
S02000016,Female,"70+",200
S02000016,Male,"70+",185
S02000010,Female,"[0,17)",300
S02000010,Male,"[0,17)",278
S02000010,Female,"[17,70)",1883
S02000010,Male,"[17,70)",1740
