source,target,mixing
"[0,17)","[0,17)",2.158825495
"[0,17)","[17,70)",1.64281058
"[0,17)","70+",0.095392626
"[17,70)","[0,17)",0.540817942
"[17,70)","[17,70)",2.29122061
"[17,70)","70+",0.175799206
"70+","[0,17)",0.036736215
"70+","[17,70)",0.274034061
"70+","70+",0.075217276
