Time,Movement_Multiplier,Contact_Multiplier
1,0.187005174,0.8
2,0.170162037,0.8
3,0.159949074,0.8
4,0.158759259,0.8
5,0.150541667,0.8
6,0.133734749,0.8
7,0.132656209,0.8
8,0.114972222,0.2
9,0.076148148,0.2
10,0.066740741,0.2
11,0.063592593,0.2
12,0.060666667,0.2
13,0.061538671,0.2
14,0.067393464,0.2
15,0.063555556,0.2
16,0.063148148,0.2
17,0.061407407,0.2
18,0.058962963,0.05
19,0.059962963,0.05
20,0.064894608,0.05
21,0.071341176,0.05
22,0.063569444,0.05
23,0.066248911,0.05
24,0.064523148,0.05
25,0.064620370,0.05
26,0.060231481,0.05
27,0.069039216,0.05
28,0.071440896,0.05
29,0.054986928,0.05
30,0.066388344,0.05
31,0.066879902,0.05
32,0.065574074,0.05
33,0.065319444,0.05
34,0.073556373,0.05
35,0.080605976,0.05
36,0.072144880,0.05
37,0.071083606,0.05
38,0.071087691,0.05
39,0.072564815,0.05
40,0.071064815,0.05
41,0.077566176,0.05
42,0.082852474,0.05
